"","year","month","prov","pop","protests"
"136","2023","January","Northwest Territories",44515,0
"137","2023","January","Nova Scotia",1040195,8
"138","2023","January","Nunavut",40521,0
"139","2023","January","Ontario",15378179,26
"140","2023","January","Prince Edward Island",169935,0
"141","2023","January","Quebec",8767038,23
"142","2023","January","Saskatchewan",1194869,3
"143","2023","January","Yukon",44386,0
"144","2022","December","Alberta",4561350,4
"145","2022","December","British Columbia",5403528,16
"146","2022","December","Manitoba",1423596,8
"147","2022","December","New Brunswick",817766,7
"148","2022","December","Newfoundland and Labrador",533444,0
"149","2022","December","Northwest Territories",44664,0
"150","2022","December","Nova Scotia",1035666,6
"151","2022","December","Nunavut",40431,0
"152","2022","December","Ontario",15283961,38
"153","2022","December","Prince Edward Island",169146,1
"154","2022","December","Quebec",8730868,25
"155","2022","December","Saskatchewan",1187607,1
"156","2022","December","Yukon",44113,0
"157","2022","November","u",4561350,10
"158","2022","November","British Columbia",5403528,9
"159","2022","November","Manitoba",1423596,4
"160","2022","November","New Brunswick",817766,5
"161","2022","November","Newfoundland and Labrador",533444,4
"162","2022","November","Northwest Territories",44664,0
"163","2022","November","Nova Scotia",1035666,8
"164","2022","November","Nunavut",40431,0
"165","2022","November","Ontario",15283961,81
"166","2022","November","Prince Edward Island",169146,1
"167","2022","November","Quebec",8730868,19
"168","2022","November","Saskatchewan",1187607,7
"169","2022","November","Yukon",44113,2
"170","2022","October","Alberta",4561350,17
"171","2022","October","British Columbia",5403528,21
"172","2022","October","Manitoba",1423596,12
"173","2022","October","New Brunswick",817766,4
"174","2022","October","Newfoundland and Labrador",533444,5
"175","2022","October","Northwest Territories",44664,1
"176","2022","October","Nova Scotia",1035666,11
"177","2022","October","Nunavut",40431,0
"178","2022","October","Ontario",15283961,35
"179","2022","October","Prince Edward Island",169146,3
"180","2022","October","Quebec",8730868,21
"181","2022","October","Saskatchewan",1187607,5
"182","2022","October","Yukon",44113,2
"183","2022","September","Alberta",4510891,18
"184","2022","September","British Columbia",5356284,26
"185","2022","September","Manitoba",1413409,8
"186","2022","September","New Brunswick",809568,17
"187","2022","September","Newfoundland and Labrador",531583,2
